ISO3,Year,Access_Healthcare,Children_U5,Conflict_Probability,Food_Security,Governance,Hazard_Exposure,Health_Conditions,Human_Hazard,INFORM_Risk,Inequality,Infrastructure,Institutional,Lack_Coping_Capacity,Natural_Hazard,SocioEcon_Vulnerability,Uprooted_People,Vulnerability,Vulnerable_Groups,Total_CBPF,CBPF_Targeted,CBPF_Reached,Population,Total_PIN,HNO_Targeted,HNO_Reached,Dollars_Per_Person,WB_Population,Density_per_km2,Land_Area_km2,Birth_Rate,Infant_Mortality,Life_Expectancy,Maternal_Mortality,Fertility_Rate,Physicians_per_1000,Latitude,Longitude,GDP_per_capita,Urban_pct,Log_CBPF,CBPF_per_capita,INFORM_Risk_Change,Vulnerability_Change,Continent,Pop_Used,Need_Proxy,_y,_y_model,pred_log,pred_funding,actual_funding,funding_gap,funding_ratio_gap,flag_overlooked,flag_overfunded,beneficiaries_per_million,efficiency_robust_z,flag_low_efficiency,flag_high_efficiency
AFG,2018,8.4,8.1,0.990679646143303,5.4,8.2,8.6,2.2,10.0,8.0,9.1,7.3,7.7,7.5,5.4,8.1,9.3,7.8,7.4,62584769.94,3664615.0,4191929.0,,,,,,38041754,60,652230,32.49,47.9,64.5,638,4.47,0.28,33.93911,67.709953,502.1154869199775,25.8,17.95203253075514,1.645159945569282,,,Asia,38041754,30669572.33073675,62584769.94,17.95203253075514,,,62584769.94,,,False,False,66980.01772558758,0.21995567519249254,False,False
AFG,2019,8.0,7.9,0.993329756832764,5.5,8.2,8.6,2.2,10.0,8.1,9.0,7.1,7.7,7.4,5.6,8.0,9.8,8.4,8.7,63781104.43,2927036.0,3067062.0,,,,,,38041754,60,652230,32.49,47.9,64.5,638,4.47,0.28,33.93911,67.709953,502.1154869199775,25.8,17.97096755131822,1.676607877491664,0.09999999999999964,0.6000000000000005,Asia,38041754,32572817.72226216,63781104.43,17.97096755131822,,,63781104.43,,,False,False,48087.314062082834,-0.11647767173150189,False,False
AFG,2020,8.1,7.8,0.994464072353688,5.6,8.2,8.6,2.2,10.0,8.1,9.0,7.0,7.7,7.4,5.6,7.9,9.9,8.4,8.8,74274515.41,5532888.0,8346732.0,,,,,,38041754,60,652230,32.49,47.9,64.5,638,4.47,0.28,33.93911,67.709953,502.1154869199775,25.8,18.12327846848731,1.952447182377553,0.0,0.0,Asia,38041754,32572817.72226216,74274515.41,18.123278468487307,17.94488525390625,62139053.980641365,74274515.41,12135461.429358631,0.19529523949848482,False,False,112376.79510681608,1.028362456241687,False,False
AFG,2021,8.0,7.7,0.991411496004213,5.8,8.2,8.6,2.0,10.0,8.0,9.0,6.9,7.7,7.3,5.5,7.9,9.9,8.3,8.6,165403048.41,28460626.0,29662087.0,,,,,,38041754,60,652230,32.49,47.9,64.5,638,4.47,0.28,33.93911,67.709953,502.1154869199775,25.8,18.92389577696191,4.34793433578273,-0.09999999999999964,-0.09999999999999964,Asia,38041754,31896725.685377527,165403048.41,18.923895776961906,18.105323791503906,72952841.08310398,165403048.41,92450207.32689601,1.2672598620467936,False,True,179332.1663957153,2.220675640128484,False,False
AFG,2022,8.0,7.6,0.993720089640603,6.3,8.4,8.6,2.0,10.0,8.1,8.7,6.8,7.8,7.3,5.6,8.0,10.0,8.5,8.9,282670724.47,24228106.0,27791932.0,,,,,,38041754,60,652230,32.49,47.9,64.5,638,4.47,0.28,33.93911,67.709953,502.1154869199775,25.8,19.45979326395904,7.430538677843299,0.09999999999999964,0.1999999999999993,Asia,38041754,32818248.393190313,282670724.47,19.459793263959035,18.442739486694336,102230382.56370682,282670724.47,180440341.9062932,1.7650363559370263,False,True,98319.1027369771,0.7780289635744194,False,False
AFG,2023,7.9,7.5,0.971067370419526,6.8,8.2,8.6,1.9,10.0,8.1,8.9,6.8,7.7,7.3,5.6,8.2,10.0,8.6,8.9,134957920.4,8778046.0,11434660.0,,,,,,38041754,60,652230,32.49,47.9,64.5,638,4.47,0.28,33.93911,67.709953,502.1154869199775,25.8,18.72047359448291,3.547626126807928,0.0,0.09999999999999964,Asia,38041754,33063679.06411847,134957920.4,18.720473594482907,18.92776870727539,166044884.98589474,134957920.4,-31086964.585894734,-0.18722024823911632,False,False,84727.59483862996,0.5359970885486204,False,False
AFG,2024,7.9,7.4,0.916942255167403,7.1,8.5,7.8,1.9,9.1,7.9,8.9,6.8,7.8,7.3,5.6,8.2,10.0,8.5,8.8,55213329.07,3078158.0,2805648.0,,,,,,38041754,60,652230,32.49,47.9,64.5,638,4.47,0.28,33.93911,67.709953,502.1154869199775,25.8,17.82671496886945,1.451387574558208,-0.1999999999999993,-0.09999999999999964,Asia,38041754,31956925.661277357,55213329.07,17.82671496886945,18.417978286743164,99730118.11410388,55213329.07,-44516789.04410388,-0.44637256914878054,True,False,50814.686366622765,-0.06790976906034132,False,False
AFG,2025,7.9,7.3,0.92034199942548,7.3,8.7,7.6,1.9,8.9,7.8,8.9,6.8,7.9,7.4,5.6,8.1,10.0,8.3,8.4,73438742.96000001,4259577.0,998736.0,46024352.0,22887726.0,16790412.0,18100000.0,3.208651788299109,38041754,60,652230,32.49,47.9,64.5,638,4.47,0.28,33.93911,67.709953,502.1154869199775,25.8,18.11196220118908,1.930477310799076,-0.1000000000000005,-0.1999999999999993,Asia,46024352,22887726.0,73438742.96000001,18.111962201189076,17.86541175842285,57391785.48314038,73438742.96000001,16046957.47685963,0.2796037332132426,False,False,13599.579183025822,-0.730620797027107,False,False
BFA,2022,6.6,6.9,0.912171332446697,3.6,6.2,6.4,3.2,8.4,7.0,5.8,7.7,6.4,7.1,2.9,7.1,9.6,7.6,8.0,29449688.4,1736782.0,2403295.0,,,,,,20321378,76,274200,37.93,49.0,61.2,320,5.19,0.08,12.238333,-1.561593,774.8396902513206,30.0,17.19819392131695,1.449197411710958,0.09999999999999964,-0.2000000000000002,Africa,20321378,13820515.99097701,29449688.4,17.19819392131695,16.992145538330078,23965970.746630568,29449688.4,5483717.65336943,0.22881266573107206,False,False,81606.80572492554,0.4804233842621491,False,False
BFA,2023,6.2,6.6,0.9419114459885,3.8,6.3,7.2,3.1,9.2,7.4,5.4,7.6,6.5,7.1,3.0,7.0,9.8,8.0,8.7,20032043.22,927770.0,1654801.0,,,,,,20321378,76,274200,37.93,49.0,61.2,320,5.19,0.08,12.238333,-1.561593,774.8396902513206,30.0,16.81284376034758,0.9857620492074897,0.4000000000000004,0.4000000000000004,Africa,20321378,15265151.992179545,20032043.22,16.812843760347576,16.99520492553711,24039404.20741435,20032043.22,-4007360.9874143526,-0.16669967994374768,False,False,82607.69916197257,0.49824687500955694,False,False
BFA,2024,6.2,6.4,0.971416089641499,3.7,6.3,7.5,3.1,9.5,7.5,5.4,7.6,6.5,7.1,2.9,7.0,9.9,7.8,8.4,13999919.98,392442.0,385694.0,,,,,,20321378,76,274200,37.93,49.0,61.2,320,5.19,0.08,12.238333,-1.561593,774.8396902513206,30.0,16.45456224327789,0.688925720490018,0.09999999999999964,-0.2000000000000002,Africa,20321378,15232993.998995228,13999919.98,16.454562243277888,17.250925064086914,31044276.942235153,13999919.98,-17044356.962235153,-0.5490337879007459,True,False,27549.72889298259,-0.4822023789646018,False,False
BFA,2025,6.2,6.2,0.96481294083504,3.8,6.3,8.1,3.1,10.0,7.5,5.4,7.6,6.5,7.1,2.9,6.8,9.8,7.4,8.0,8997558.19,250575.0,1500.0,23449865.0,5915136.0,3672506.0,1800000.0,1.521107577239137,20321378,76,274200,37.93,49.0,61.2,320,5.19,0.08,12.238333,-1.561593,774.8396902513206,30.0,16.01246389740771,0.4427631920433742,0.0,-0.3999999999999995,Africa,23449865,5915136.0,8997558.19,16.01246389740771,16.74823760986328,18778770.417261295,8997558.19,-9781212.227261296,-0.5208654246217571,True,False,166.71189762355826,-0.9698276665205207,False,False
CAF,2018,9.9,9.2,0.978077945047261,6.2,8.2,7.0,8.8,9.1,8.2,9.2,9.6,8.2,9.0,2.8,8.8,9.8,8.7,8.6,28392819.98,2365454.0,2295414.0,,,,,,4745185,8,622984,35.35,84.5,52.8,829,4.72,0.06,6.611111,20.939444,467.9074407004152,41.8,17.16164688878222,5.983501165918716,,,Africa,4745185,4208571.8690025015,28392819.98,17.161646888782215,,,28392819.98,,,False,False,80844.87562475487,0.46685525244321185,False,False
CAF,2019,9.8,9.1,0.947777175372458,6.0,8.0,7.3,8.5,9.3,8.2,9.2,9.5,8.0,8.9,2.9,8.8,9.7,8.6,8.4,38998422.01000001,2938403.0,3108469.0,,,,,,4745185,8,622984,35.35,84.5,52.8,829,4.72,0.06,6.611111,20.939444,467.9074407004152,41.8,17.47903176763535,8.21852509649255,0.0,-0.09999999999999964,Africa,4745185,4177957.7722332464,38998422.01000001,17.47903176763535,,,38998422.01000001,,,False,False,79707.55840129162,0.44660238409683645,False,False
CAF,2020,9.8,8.9,0.940193456128522,5.8,8.1,7.0,9.0,9.1,8.2,9.2,9.5,8.1,8.9,2.8,8.8,9.7,8.7,8.5,30839970.34,2583604.0,2859898.0,,,,,,4745185,8,622984,35.35,84.5,52.8,829,4.72,0.06,6.611111,20.939444,467.9074407004152,41.8,17.24432217734639,6.499213484827252,0.0,0.09999999999999964,Africa,4745185,4208571.8690025015,30839970.34,17.24432217734639,17.320253372192383,33272884.439175148,30839970.34,-2432914.0991751477,-0.07312002371248161,False,False,92733.48736648838,0.6785626665746058,False,False
CAF,2021,9.7,8.9,0.920405099415168,5.6,8.0,6.7,8.7,8.8,8.0,9.2,9.4,8.0,8.8,2.8,8.9,9.8,8.7,8.5,23298106.64,3531299.0,2939960.0,,,,,,4745185,8,622984,35.35,84.5,52.8,829,4.72,0.06,6.611111,20.939444,467.9074407004152,41.8,16.96388269807025,4.909841584680049,-0.1999999999999993,0.0,Africa,4745185,4101133.718079378,23298106.64,16.963882698070254,17.29691505432129,32505342.66744919,23298106.64,-9207236.02744919,-0.2832530061794828,False,False,126188.79487941992,1.2743207581329548,False,False
CAF,2022,9.8,9.0,0.952936211727738,5.6,8.0,6.9,9.0,9.0,8.0,6.8,9.4,8.0,8.8,2.9,8.4,9.8,8.5,8.5,29493646.31,918714.0,924355.0,,,,,,4745185,8,622984,35.35,84.5,52.8,829,4.72,0.06,6.611111,20.939444,467.9074407004152,41.8,17.19968545269617,6.215489240145537,0.0,-0.1999999999999993,Africa,4745185,4039905.5245408663,29493646.31,17.199685452696166,17.320659637451172,33286404.80282981,29493646.31,-3792758.492829811,-0.11394317035125923,False,False,31340.817959671913,-0.4146922541084622,False,False
CAF,2023,9.8,8.9,0.952435635064754,5.8,8.0,7.1,8.9,9.1,8.2,6.8,9.4,8.0,8.8,3.1,8.4,9.5,8.7,9.0,15797063.92,1175334.0,1384961.0,,,,,,4745185,8,622984,35.35,84.5,52.8,829,4.72,0.06,6.611111,20.939444,467.9074407004152,41.8,16.57533471618386,3.329072295389958,0.1999999999999993,0.1999999999999993,Africa,4745185,4208571.8690025015,15797063.92,16.57533471618386,17.211212158203125,29835577.78267944,15797063.92,-14038513.862679439,-0.47052931117792096,True,False,87672.05139677171,0.5884307366051194,False,False
CAF,2024,9.8,8.8,0.927528448975959,6.0,8.1,6.8,8.9,8.8,8.1,6.8,9.4,8.1,8.8,3.1,8.4,9.6,8.8,9.1,18499917.63,527524.0,597711.0,,,,,,4745185,8,622984,35.35,84.5,52.8,829,4.72,0.06,6.611111,20.939444,467.9074407004152,41.8,16.7332768916605,3.89867152281734,-0.09999999999999964,0.1000000000000014,Africa,4745185,4185466.890310196,18499917.63,16.733276891660502,17.191347122192383,29248741.00064774,18499917.63,-10748823.37064774,-0.36749695894294043,True,False,32308.84655391253,-0.39745400670464487,False,False
CAF,2025,9.8,9.0,0.950680272689621,6.2,8.1,6.9,8.9,8.9,8.1,6.8,9.4,8.1,8.8,3.1,8.3,9.7,8.7,9.1,7100000.01,805178.0,6761.0,5296124.0,2440338.0,1772631.0,720000.0,2.909433041652427,4745185,8,622984,35.35,84.5,52.8,829,4.72,0.06,6.611111,20.939444,467.9074407004152,41.8,15.77560548426506,1.49625357283225,0.0,-0.1000000000000014,Africa,5296124,2440338.0,7100000.01,15.775605484265055,17.143516540527344,27882686.66871949,7100000.01,-20782686.658719487,-0.7453616972296571,True,False,952.2535196514383,-0.955839070618418,False,False
COD,2018,7.8,9.0,0.99386182626345,7.6,8.1,7.4,5.6,9.2,7.7,6.4,8.3,8.1,8.2,3.8,6.7,9.4,7.4,8.0,68521023.72,2857716.0,4278047.0,,,,,,86790567,40,2344858,41.18,68.2,60.4,473,5.92,0.07,-4.038333,21.758664,545.2162123102618,45.0,18.04265118635799,0.7894985145102232,,,Africa,86790567,64783902.22140917,68521023.72,18.04265118635799,,,68521023.72,,,False,False,62434.07888094474,0.13900350192735234,False,False
COD,2019,7.5,9.0,0.987295459858803,7.7,8.1,7.9,5.5,9.7,7.7,6.4,8.2,8.1,8.2,3.7,6.6,9.0,7.1,7.6,78446955.82,5312766.0,5687671.0,,,,,,86790567,40,2344858,41.18,68.2,60.4,473,5.92,0.07,-4.038333,21.758664,545.2162123102618,45.0,18.17793324505885,0.9038649997527957,0.0,-0.3000000000000007,Africa,86790567,63104084.79587366,78446955.82,18.177933245058853,,,78446955.82,,,False,False,72503.39978747051,0.31831374752116787,False,False
COD,2020,7.5,9.0,0.98417984067001,7.8,8.3,7.7,5.5,9.5,7.8,6.3,8.1,8.3,8.2,3.7,6.6,9.5,7.4,8.1,75000641.67,5542831.0,7099060.0,,,,,,86790567,40,2344858,41.18,68.2,60.4,473,5.92,0.07,-4.038333,21.758664,545.2162123102618,45.0,18.13300724039721,0.8641566043692283,0.09999999999999964,0.3000000000000007,Africa,86790567,65766436.9419785,75000641.67,18.133007240397205,18.150611877441406,76332691.48646992,75000641.67,-1332049.8164699227,-0.017450581009658572,False,False,94653.3235160966,0.7127503039219303,False,False
COD,2021,7.7,8.9,0.991820567860263,7.8,8.4,7.8,5.5,9.6,7.8,6.5,8.2,8.4,8.3,3.8,6.7,9.4,7.4,8.0,65132904.83,2815033.0,3541520.0,,,,,,86790567,40,2344858,41.18,68.2,60.4,473,5.92,0.07,-4.038333,21.758664,545.2162123102618,45.0,17.99194044537256,0.7504606443002038,0.0,0.0,Africa,86790567,65766436.9419785,65132904.83,17.99194044537256,18.11847496032715,73918592.6875542,65132904.83,-8785687.857554197,-0.118856265225318,False,False,54373.745638846645,-0.004531533515994082,False,False
COD,2022,7.9,8.9,0.991522286369386,8.1,8.3,7.9,5.2,9.7,7.8,6.5,8.1,8.3,8.2,3.8,6.7,9.4,7.4,8.0,38434815.36,1590179.0,1990631.0,,,,,,86790567,40,2344858,41.18,68.2,60.4,473,5.92,0.07,-4.038333,21.758664,545.2162123102618,45.0,17.46447428281718,0.4428455382714576,0.0,0.0,Africa,86790567,65766436.9419785,38434815.36,17.46447428281718,18.066692352294922,70188310.50077371,38434815.36,-31753495.140773714,-0.4524043236576222,True,False,51792.39138533506,-0.05049920794593784,False,False
COD,2023,7.9,8.9,0.994305299444456,8.4,8.3,7.9,5.2,9.7,8.0,6.5,8.0,8.3,8.2,4.0,6.7,9.5,7.9,8.8,42981475.66,2381875.0,3003301.0,,,,,,86790567,40,2344858,41.18,68.2,60.4,473,5.92,0.07,-4.038333,21.758664,545.2162123102618,45.0,17.57627980549864,0.4952321104204792,0.2000000000000002,0.5,Africa,86790567,70531202.09234303,42981475.66,17.576279805498643,17.506282806396484,40075782.471367374,42981475.66,2905693.1886326224,0.07250496458075717,False,False,69874.31105640468,0.27149603752546947,False,False
COD,2024,7.9,8.8,0.991951246165123,8.4,8.2,8.3,5.1,10.0,8.1,6.5,8.0,8.2,8.1,4.0,6.7,9.6,8.0,8.9,37000000.09,1687663.0,1641088.0,,,,,,86790567,40,2344858,41.18,68.2,60.4,473,5.92,0.07,-4.038333,21.758664,545.2162123102618,45.0,17.42642850006796,0.4263136118237366,0.09999999999999964,0.09999999999999964,Africa,86790567,72073675.95475753,37000000.09,17.426428500067956,17.734872817993164,50368311.646930024,37000000.09,-13368311.55693002,-0.26541115077747157,False,False,44353.729620643535,-0.1829637783274151,False,False
COD,2025,7.9,8.7,0.994343244272992,8.4,8.2,8.3,5.1,10.0,8.1,6.5,8.0,8.2,8.1,4.0,6.7,9.6,7.8,8.6,29796566.58,2184110.0,330246.0,117808862.0,21241767.0,10988449.0,9100000.0,1.402734837454906,86790567,40,2344858,41.18,68.2,60.4,473,5.92,0.07,-4.038333,21.758664,545.2162123102618,45.0,17.2099037629625,0.3433157266964277,0.0,-0.2000000000000002,Africa,117808862,21241767.0,29796566.58,17.209903762962497,17.824066162109375,55067273.15041419,29796566.58,-25270706.570414193,-0.45890608204601313,True,False,11083.357510411412,-0.775428617760337,False,False
COL,2024,3.0,1.2,0.941042111733976,1.4,5.6,7.5,0.7,8.3,5.2,6.3,2.6,3.6,3.1,6.4,3.8,10.0,6.1,7.7,3006015.08,30415.0,12669.0,,,,,,50339443,46,1138910,14.88,12.2,77.1,83,1.81,2.18,4.570868,-74.297333,6432.387583390623,81.1,14.91612619858215,0.05971490546687217,0.0,0.0,Americas,50339443,19106315.672124688,3006015.08,14.916126198582147,16.9525203704834,23034884.15079952,3006015.08,-20028869.070799522,-0.8695016193560642,True,False,4214.549714030526,-0.897745467559767,False,False
ETH,2018,7.3,6.6,0.90731406342415,4.2,6.5,6.7,3.5,8.4,6.8,4.7,8.2,6.0,7.3,3.8,6.4,8.3,6.5,6.6,84667535.84,10805164.0,11754541.0,,,,,,112078730,115,1104300,32.34,39.1,66.2,401,4.25,0.08,9.145,40.489673,857.5013510413618,21.2,18.25424281389968,0.7554291152299817,,,Africa,112078730,65732844.92312635,84667535.84,18.254242813899683,,,84667535.84,,,False,False,138831.73619312892,1.499460957063366,False,False
ETH,2019,7.3,6.6,0.915542487615914,4.1,6.5,6.6,3.2,8.4,6.8,4.7,8.2,6.0,7.3,3.6,6.4,8.6,6.6,6.7,61032490.42,9936601.0,11675372.0,,,,,,112078730,115,1104300,32.34,39.1,66.2,401,4.25,0.08,9.145,40.489673,857.5013510413618,21.2,17.92691692656144,0.5445501605880081,0.0,0.09999999999999964,Africa,112078730,66455933.50365488,61032490.42,17.926916926561443,,,61032490.42,,,False,False,191297.6501444344,2.433751958735148,False,False
ETH,2020,7.5,6.6,0.904832470906155,4.4,6.3,6.6,3.0,8.4,6.7,4.6,8.3,5.9,7.3,3.6,6.1,8.3,6.3,6.4,57478521.56,7249316.0,8349182.0,,,,,,112078730,115,1104300,32.34,39.1,66.2,401,4.25,0.08,9.145,40.489673,857.5013510413618,21.2,17.86692191529569,0.5128405858988588,-0.09999999999999964,-0.2999999999999998,Africa,112078730,63017851.95098793,57478521.56,17.866921915295695,17.870838165283203,57704063.17366722,57478521.56,-225541.61366721988,-0.003908591549063423,False,False,145257.42439528994,1.6138869188868747,False,False
ETH,2021,7.3,6.6,0.988647141832365,4.8,6.2,6.9,3.0,8.8,6.8,4.6,8.2,5.8,7.2,3.6,6.1,8.5,6.4,6.6,98519150.26,26741692.0,19217886.0,,,,,,112078730,115,1104300,32.34,39.1,66.2,401,4.25,0.08,9.145,40.489673,857.5013510413618,21.2,18.40576151627898,0.8790173680590421,0.09999999999999964,0.1000000000000005,Africa,112078730,65009756.34259782,98519150.26,18.405761516278975,18.049726486206055,69007549.64457396,98519150.26,29511600.61542605,0.42765756453354276,False,True,195067.5168136081,2.5008841640328647,False,True
ETH,2022,7.4,6.6,0.9961847250593,5.4,6.2,7.7,2.8,9.6,7.2,4.6,8.1,5.8,7.1,3.6,6.0,8.9,6.8,7.4,63908474.3,6407257.0,7682576.0,,,,,,112078730,115,1104300,32.34,39.1,66.2,401,4.25,0.08,9.145,40.489673,857.5013510413618,21.2,17.9729625443555,0.5702105502087684,0.4000000000000004,0.3999999999999995,Africa,112078730,72977373.90903737,63908474.3,17.972962544355497,18.164936065673828,77433963.92873651,63908474.3,-13525489.62873651,-0.17467128043689195,False,False,120212.1640991794,1.1678914226318933,False,False
ETH,2023,7.4,6.6,0.997800282292602,5.8,6.4,8.2,2.7,10.0,7.4,4.6,8.0,5.9,7.1,3.6,6.0,8.9,7.1,8.0,59982606.78,3105549.0,3579180.0,,,,,,112078730,115,1104300,32.34,39.1,66.2,401,4.25,0.08,9.145,40.489673,857.5013510413618,21.2,17.90956520783251,0.5351827842803001,0.2000000000000002,0.2999999999999998,Africa,112078730,77684271.2727857,59982606.78,17.909565207832514,18.08803939819336,71702730.29312643,59982606.78,-11720123.513126433,-0.16345435473954262,False,False,59670.29764257821,0.08978724422541452,False,False
